COMID_hr,lagoslakeid,nhdplusv2_comid,Permanent_Identifier,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKM,Elevation,REACHCODE,FTYPE,FCODE,VisibilityFilter,Shape_Length,Shape_Area,VPUID,fdate,resolution,gnis_id,gnis_name,areasqkm,elevation,reachcode,ftype,fcode,shape_length,shape_area,onoffnet,purpcode,purpdesc,meandepth,lakevolume,maxdepth,meandused,meandcode,lakearea,areasqm,in_maxdepth_training,maxdepth_m_prediction_heathcote,maxdepth_m_prediction_hollister,maxdepth_m_prediction_khazaei,maxdepth_m_prediction_oliver,maxdepth_m_prediction_sobek,maxdepth_m_prediction_rf,in_meandepth_training,meandepth_m_prediction_messager,meandepth_m_prediction_khazaei,meandepth_m_prediction_rf,lake_meandepth_m,lake_maxdepth_m,area,best_maxdepth,best_meandepth,cone_volume,HYBAS_ID,MAIN_BAS,pre_mm_uyr,aet_mm_uyr,pet_mm_uyr,crp_pc_use,wet_pc_ug2,Shape,HUC04,apr_recharge_Ly,Flow_in_m3s
35000900084718,446971,17905721,136353672,2005-06-22T09:01:45Z,2,00187813,Kite Lake,0.02,NA,13010001000750,390,39004,0,0.006930451226557674,2.0128562115100374e-6,1301,2000-06-12T04:00:00Z,Medium,187813,Kite Lake,0.02,0,13010001000750,LakePond,39004,0.00619819379563549,2.00626902499129e-6,1, , ,4.067413055,79862.25799,10.911254367570749,4.067413055,4,19634.6546231,20000,FALSE,9.057106169600194,11.858066402790618,7.84819647999996,6.364280878405324,11.805692286037598,10.911254367570749,FALSE,4.034798845724712,6.504927588190467,4.624005239999989,NA,NA,19699.201253957162,10.911254367570749,4.624005239999989,71647.66523996509,7100595410,7100049270,911,557,691,1,0,"c(-107.526505446507, 37.7114518368986)",1301,354,2.2450532724505327e-4
35000900084743,446975,17905651,136353460,2005-06-22T08:45:47Z,2,00186992,Black Mountain Lake,0.031,NA,13010001000677,390,39004,0,0.00688702260771109,3.155611090223517e-6,1301,2000-06-12T04:00:00Z,Medium,186992,Black Mountain Lake,0.023,0,13010001000677,LakePond,39004,0.00623733714261436,2.31335582384946e-6,1, , ,1.694620714,38297.47189,8.28360180056811,1.694620714,4,22599.4301026,31000,FALSE,8.515936974284854,8.991562052424701,7.45781007999998,4.505782302215385,3.247655863617414,8.28360180056811,FALSE,3.864398561592386,5.100142866285706,3.783139183999989,NA,NA,30827.45684938794,8.28360180056811,3.783139183999989,85120.79235484189,7101094300,7100049270,830,559,729,0,10,"c(-107.235339783667, 37.8467358293424)",1301,271,2.663939624556063e-4
35000900084756,446977,17905725,136353717,2005-06-22T09:05:21Z,2,00201525,Wee Ruby Reservoir,0.066,NA,13010001000716,390,39004,0,0.010510072633791097,6.7704592789881746e-06,1301,2008-06-09T04:00:00Z,Medium,187888,Little Ruby Lake,0.071,0,13010001000716,LakePond,39004,0.0107206450242884,7.21289417339804e-6,1, , ,2.434217281,171824.1191,10.555527088537058,2.434217281,4,70587.0067845,66000,FALSE,6.114732927722857,9.555056012012631,15.109348574123972,6.086262391658591,9.739225786874089,10.555527088537058,FALSE,3.8707485228629936,6.549354368761891,3.973268883999991,NA,NA,66257.435827719,10.555527088537058,3.973268883999991,233127.38623216457,7100596380,7100049270,819,552,748,0,5,"c(-107.140917458392, 37.7147923631928)",1301,267,5.587899543378996e-4
35000900084873,446984,17875109,133157311,2005-03-20T04:29:46Z,2,00190744,Twin Lakes,0.021,NA,13010005000490,390,39004,0,0.006833233011130347,2.1518187977416e-6,1301,2000-06-12T04:00:00Z,Medium,190744,Twin Lakes,0.021,0,13010005000490,LakePond,39004,0.00672769145547432,2.17032126655115e-6,1, , ,0.968948874,20701.35992,6.647455469990751,0.968948874,4,21364.7570368,21000,FALSE,8.663494189612479,7.497407898190627,5.371809759999986,5.102198261739275,4.913159820630963,6.647455469990751,FALSE,3.7878696410163792,5.784818944761897,2.6579393799999957,NA,NA,21182.595176835097,6.647455469990751,2.6579393799999957,46936.786058950725,7100606840,7100049270,900,586,759,1,0,"c(-106.578071555982, 37.2674767091992)",1301,314,2.0909436834094368e-4
35000900084890,446985,17875093,133157207,2007-12-27T02:16:31Z,2,NA,NA,0.013000000000000001,NA,13010005000482,390,39004,0,0.0048328585670416495,1.285839771567598e-6,1301,2000-06-12T04:00:00Z,Medium, , ,0.011,0,13010005000482,LakePond,39004,0.00452177912517567,1.14604166308926e-6,1, , ,0.901351343,10161.92239,7.787258439319989,0.901351343,4,11274.1030153,13000.000000000002,FALSE,4.925948090160085,6.733325615037543,6.113061279999965,4.685668245513945,3.405605645390992,7.787258439319989,FALSE,3.723320678233904,4.280453614857141,3.0587277399999957,NA,NA,12649.343273186698,7.787258439319989,3.0587277399999957,32834.568385326216,7100606560,7100049270,871,586,770,1,15,"c(-106.559620635736, 37.3189908081627)",1301,285,1.1748477929984781e-4
35000900084929,446986,17875089,133157190,2007-12-27T02:16:30Z,2,00190718,Big Lake,0.051000000000000004,NA,13010005000481,390,39004,0,0.013133878391935994,5.224983032678301e-6,1301,1999-11-19T05:00:00Z,Medium,190718,Big Lake,0.054,0,13010005000481,LakePond,39004,0.00914056625167224,5.52200223394184e-6,1, , ,2.579222787,140090.4868,9.310038688729904,2.579222787,4,54314.9977911,51000.00000000001,FALSE,8.209072967132148,10.725031108411653,8.985983245117978,6.571699127591815,11.68705226556234,9.310038688729904,FALSE,4.003694482367342,3.735527190476186,3.7633322079999902,NA,NA,51393.417892829035,9.310038688729904,3.7633322079999902,159491.56964276734,7100606560,7100049270,871,586,770,1,15,"c(-106.524397949887, 37.3292743370542)",1301,285,4.609018264840183e-4
35000900085007,446987,17897269,136495866,2010-04-30T11:11:58Z,2,00190653,San Francisco Lakes,0.01,NA,13010002001127,390,39004,0,0.004159085361365411,1.0365525212374415e-6,1301,2000-06-12T04:00:00Z,Medium, , ,0.011,0,13010002001127,LakePond,39004,0.00409136720779448,1.11587207428391e-6,1, , ,3.21427259,35205.2572,7.515583134330557,3.21427259,4,10952.7873112,10000,FALSE,8.72469238046972,9.788731371387136,6.430589279999956,5.583484846044873,8.20198010495661,7.515583134330557,FALSE,3.9539990164319434,5.88659828457142,3.412623359999992,NA,NA,10174.244672309063,7.515583134330557,3.412623359999992,25488.460554586174,7101096310,7100049270,718,510,814,1,2,"c(-106.426322308813, 37.4892652573539)",1301,208,6.595636732623034e-5
35000900085173,446994,17881470,137168533,2005-07-20T21:11:27Z,2,NA,NA,0.038,NA,13010004000529,390,39004,0,0.018604276798040775,3.931136007808586e-6,1301,1999-07-23T04:00:00Z,Medium, , ,0.057,0,13010004000529,LakePond,39004,0.0159960951631098,5.85511923496608e-6,1, , ,0.04650591,2656.561412,8.998949162016439,0.04650591,4,57123.0912114,38000,FALSE,1.3004220059458906,5.862014466504942,4.780712385999982,0.5128961609909071,-3.633651472451742,8.998949162016439,FALSE,3.503991615899608,3.3702983762857066,12.966366799999967,NA,NA,38352.61440022516,8.998949162016439,12.966366799999967,115044.40907268193,7100590880,7100049270,290,254,1022,8,0,"c(-106.110742320057, 37.9462367524769)",1301,36,4.337899543378995e-5
35000900085315,447004,17883160,137168696,2005-07-20T21:18:10Z,2,NA,NA,0.02,NA,13010004000550,390,39004,0,0.010616608022973175,1.9984925471212856e-6,1301,1999-06-23T04:00:00Z,Medium, , ,0.029,0,13010004000550,LakePond,39004,0.00947053131661947,2.97014648184302e-6,1, , ,3.09103e-4,8.961447893,7.679573566019604,0.02,2,28991.799067,20000,FALSE,2.262717344264087,5.866455604908658,4.130533130119984,0.8097847996549328,-4.831176406122427,7.679573566019604,FALSE,3.5133949110047884,2.9525265127619,10.167810119999984,NA,NA,19507.477118293802,7.679573566019604,10.167810119999984,49936.36853912712,7100591410,7100049270,360,301,985,13,0,"c(-105.962854275674, 37.9080939311696)",1301,59,3.741755454084221e-5
35000900085559,447015,17889270,125214997,2007-12-27T08:08:35Z,2,00192444,Deadman Lakes,0.055,NA,13010003000773,390,39004,0,0.011213426107084012,5.585155671585842e-6,1301,1999-06-23T04:00:00Z,Medium, , ,0.055,0,13010003000773,LakePond,39004,0.00956497970277883,5.64792192911408e-6,1, , ,7.099869263,391405.8153,14.807180058947326,7.099869263,4,55128.5944524,55000,FALSE,10.459944928335748,14.937920917074898,16.26704320057999,7.383830904065941,16.2972355456784,14.807180058947326,FALSE,4.139438854874418,9.28317935542856,4.905352879999979,NA,NA,54515.918080365074,14.807180058947326,4.905352879999979,269075.67169826257,7100593510,7100049270,356,295,1013,3,22,"c(-105.552187267376, 37.9099112492127)",1301,61,1.0638635210553019e-4
