"","time","A","P","DOC","I0","SA","zmix","zmax","Pin","DOCin","V_lake","V_epi","V_ratio","Qin","kDOC","kA","lA","pA","hA","mA","decay","cA","v","rec","Permanent_Identifier"
"1",10000,6.48367049754537,1.71756164065247,1.54510516984555,99.7976173210144,1685000,3.3,3.3,2.83707,4.37305081634307,3707000,3707000,1,1805.02739726027,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"61790821"
"2",10000,0.800125403831071,1.18483061154259,0.0993543453741968,85.3532713317871,1541000,12.1437300266087,22.9,1.86763143694815,1.76130608177164,23525933.3333333,12475658.647336,0.530293887624833,1173.1611768626,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"53541253"
"3",10000,11.6111062812342,2.32672334029613,0.907801366310139,82.0304574966431,358275.01,9.87702597641776,10,5.57215383567401,4.16321917105815,2388500.06666667,2359127.72031422,0.987702597641776,592.367275525476,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"53539961"
"4",10000,16.5928934152489,2.40225498598364,0.91625740062055,82.0304574966431,396031.82,9.99063906551576,10,7.00458690841908,4.16495061333691,2640212.13333333,2637740.64805287,0.999063906551576,662.325836696016,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"53539955"
"5",10000,18.6008006434096,2.14816156550771,1.28677942298424,92.0829355812073,354000,6.42612392883322,6.42612392883322,5.77197,4.22062276241074,1516565.24720464,1516565.24720464,1,592.586301369863,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"53539923"
"6",10000,2.10719738003553e-07,1.19432809773879,0.163014966266023,86.7412564659119,1160000,11.3271150648999,19,0.0972045321753643,2.19592186991973,14693333.3333333,8759635.65018922,0.596163950784203,1009.85273285166,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"47721350"
"7",10000,13.9738444454957,2.46307457520074,1.78357671246429,95.1761458969116,16000,6.30409363406253,6.30409363406253,5.25021,5.96423421265064,67243.6654300004,67243.6654300004,1,25.5561643835616,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"53540833"
"8",10000,14.8927600952425,2.27881329721246,1.93592350917486,107.624411754608,7594.8,6.30409363406253,6.30409363406253,5.25021,6.47367794500905,31918.8868879854,31918.8868879854,1,12.1308723287671,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"53540825"
"9",2913.7028124729,NA,NA,NA,95.1761458969116,129000,8.76661804464346,9.4257153665217,2.18374065405022,4.4092099996803,810611.521520866,753929.151839337,0.930074557076142,191.6386772987,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"53540757"
"10",10000,4.29522408893182e-248,1.19015645190834,1.89658322428341,85.3532713317871,35000,4,4,1.10874,5.0365020933562,93333.3333333333,93333.3333333333,1,50.2465753424658,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"53541033"
